Disp_OPC[Código],Disp_OPC[Nome],Disp_OPC[Data report],Disp_OPC[Versão],Disp_OPC[VIP],Disp_OPC[Suspenso],Disp_OPC[Bandeira],[AverageDisponibilidade__Final_S_Analise]
2672 - V4 NUC,2672 - V4 Nuc Posto  Ipiranga Amf Aeroporto Comercio Varejista De Comb,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,0.6781111111111111
2673 - V4 NUC,2673 - V4 Nuc Posto  Ipiranga Auto Posto Modelo Do Imirim Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,0
2675 - V4 NUC,2675 - V4 Nuc Posto  Shell Arco Verde Com. E Serv. De Comb. E Lubri,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
2676 - V4 NUC,2676 - V4 Nuc Posto  Br Catequese Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
2677 - V4 NUC,2677 - V4 Nuc Posto  Ipiranga Auto Posto Ramalhao Iii Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2679 - V4 NUC,2679 - V4 Nuc Posto  Br Auto Posto Antartico Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
2680 - V4 NUC,2680 - V4 Nuc Posto  Ipiranga Auto Posto Black Horse Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2681 - V4 NUC,2681 - V4 Nuc Posto  Ipiranga Auto Posto Eco Gas Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2682 - V4 NUC,2682 - V4 Nuc Posto  Ipiranga Auto Posto Athibaia Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2684 - V4 NUC,2684 - V4 Nuc Posto  Bandeira Branca Auto Posto Novo Fx 35 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Bandeira Branca,1
2685 - V4 NUC,2685 - V4 Nuc Posto  Ipiranga Auto Posto Social Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2686 - V4 NUC,2686 - V4 Nuc Posto  Ale Queops Auto Posto Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ale,1
2688 - V4 NUC,2688 - V4 Nuc Posto  Ipiranga Auto Posto Tambiu Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2689 - V4 NUC,2689 - V4 Nuc Posto  Ipiranga Auto Posto Jamir Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2690 - V4 NUC,2690 - V4 Nuc Posto  Ipiranga Auto Posto Padre Adelino Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2694 - V4 NUC,2694 - V4 Nuc Posto  Ipiranga Auto Posto Criarte Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2695 - V4 NUC,2695 - V4 Nuc Posto  Shell Auto Posto Estonia 6 Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
2698,2698 Auto Posto Plaza Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
2699 - V4 NUC,2699 - V4 Nuc Posto  Br Auto Posto Korujao Paraibuna Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,BR,1
2700 - V4 NUC,2700 - V4 Nuc Posto  Br Auto Posto Vila Verde Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
2702 - V4 NUC,2702 - V4 Nuc Posto  Br Tambore Servicos Automotivos Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
2703 - V4 NUC,2703 - V4 Nuc Posto  Ipiranga Posto De Servico Umarizal Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2704 - V4 NUC,2704 - V4 Nuc Posto  Ipiranga Del Rey Combustiveis Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2705 - V4 NUC,2705 - V4 Nuc Posto  Ipiranga Luchini Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2706 - V4 NUC,2706 - V4 Nuc Posto  Ipiranga Portal Estrela De Barueri Centro Automot,2025-08-26T00:00:00,V4 - NOVPN,True,False,Ipiranga,1
2707 - V4 NUC,2707 - V4 Nuc Posto  Ipiranga Auto Posto Ortega Ltda,2025-08-26T00:00:00,V4 - NOVPN,True,False,Ipiranga,1
2710 - V4 NUC,2710 - V4 Nuc Posto  Ipiranga Auto Posto Phenix Ltda,2025-08-26T00:00:00,V4 - NOVPN,True,False,Ipiranga,1
2712 - V4 NUC,2712 - V4 Nuc Posto  Ipiranga Auto Posto Perola Prata Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2713 - V4 NUC,2713 - V4 Nuc Posto  Ipiranga Auto Posto Tank Cheio Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2715,2715 Auto Posto Estrela De Davi Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2716 - V4 NUC,2716 - V4 Nuc Posto  Br Auto Posto Corredor Oeste Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
2717 - V4 NUC,2717 - V4 Nuc Posto  Ipiranga Alpha Center Servicos Automotivos Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2718 - V4 NUC,2718 - V4 Nuc Posto  Ipiranga Portal Do Campo Limpo Auto Posto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2720 - V4 NUC,2720 - V4 Nuc Posto  Ipiranga Auto Posto Kalymar Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2721 - V4 NUC,2721 - V4 Nuc Posto  Br Auto Posto Parque Sao Roberto Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
2722 - V4 NUC,2722 - V4 Nuc Posto  Ipiranga Mag 1 Centro De Servicos Ltda,2025-08-26T00:00:00,V4 - NOVPN,True,False,Ipiranga,1
2724 - V4 NUC,2724 - V4 Nuc Posto  Ipiranga Guaia Master,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2725 - V4 NUC,2725 - V4 Nuc Posto  Shell Auto Posto Sao Bartolomeu Diamante Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
2726 - V4 NUC,2726 - V4 Nuc Posto  Ipiranga Posto Jd Helena Com De Derivados De Petr,2025-08-26T00:00:00,V4 - NOVPN,False,False,Ipiranga,1
2727 - V4 NUC,2727 - V4 Nuc Posto  Ipiranga Auto Posto Point Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Ipiranga,1
2730 - V4 NUC,2730 - V4 Nuc Posto  Shell Auto Posto Brisa De Bauru Ii Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
2733 - V4 NUC,2733 - V4 Nuc Posto  Br Auto Posto L. M. De Campinas Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,BR,1
2739 - V4 NUC,2739 - V4 Nuc Posto  Bandeira Branca D.D.R. Posto De Combustivel Ltda,2025-08-26T00:00:00,V4 - VPN,False,False,Bandeira Branca,1
