Disp_OPC[Código],Disp_OPC[Nome],Disp_OPC[Data report],Disp_OPC[Versão],Disp_OPC[VIP],Disp_OPC[Suspenso],Disp_OPC[Bandeira],[AverageDisponibilidade__Final_S_Analise]
6079,6079 Posto Shell Agua Funda 1,2025-08-26T00:00:00,V1,False,False,Shell,0.5283333333333333
6080,6080 Posto Shell Turismo,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6082,6082 Posto Shell Sao Joaquim,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6084,6084 Posto Shell 555,2025-08-26T00:00:00,V1,False,False,Shell,1
6086,6086 Posto Shell Cinadis,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,0.7816944444444444
6087 - V4 NUC,6087 - V4 Nuc Posto  Shell Tapera Grande,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6088,6088 Posto Shell Estonia 5,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6095,6095 Posto Shell Jaguare,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6097,6097 Posto Shell Saint Germain,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6099,6099 Posto Shell Jardim 10,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6101,6101 Posto Shell Estonia 2,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6102,6102 Posto Shell Marina,2025-08-26T00:00:00,V1,False,False,Shell,1
6103,6103 Posto Shell Tao Set,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6104,6104 Posto Shell Estonia,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6106,6106 Posto Shell Caracas Oil,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6107,6107 Posto Shell Abd,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6108,6108 Posto Shell Hiperpetro,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6109,6109 Posto Shell Avenida Dos Estados,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6110,6110 Posto Shell Estonia 4,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6111,6111 Posto Shell Humaita,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6113,6113 Posto Shell Martinelli,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6115,6115 Posto Shell 2002,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6117,6117 Posto Shell Cpc,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6119,6119 Posto Shell Mairipora,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6120,6120 Posto Shell Vila Rica,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6122,6122 Posto Shell G4,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6123,6123 Posto Shell Estação Anchieta,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6124,6124 Posto Shell La Caniza,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6127 - V4 NUC,6127 - V4 Nuc Posto  Shell Osasco Country,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6128,6128 Posto Shell Rally,2025-08-26T00:00:00,V1,False,False,Shell,1
6130,6130 Posto Shell Recanto Da Seringueira,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6132,6132 Posto Shell Bap São Paulo,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6134,6134 Posto Shell Panamby,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6135,6135 Posto Shell Tratto,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,0
6137,6137 Posto Shell Toninho Trinta,2025-08-26T00:00:00,V1,False,False,Shell,1
6138 - V4 NUC,6138 - V4 Nuc Posto  Shell Estonia 3,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6139,6139 Posto Shell Joia De Guarulhos,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6142,6142 Posto Shell Morumbi Star,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6146,6146 Posto Shell Brilhante,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6150,6150 Posto Shell Moraes Sales,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6151,6151 Posto Shell Center Paraiso,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6154 - V4 NUC,6154 - V4 Nuc Posto  Shell Carlos E. L. Braga,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6156,6156 Posto Shell Luppi,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6158 - V4 NUC,6158 - V4 Nuc Posto Shell Nova Cachoeirinha,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6163,6163 Posto Shell Express Valinhos,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,0
6167,6167 Posto Shell Sao Conrado,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6170,6170 Posto Shell Pole Position,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6171,6171 Posto Shell Washington Luiz,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6173,6173 Posto Shell Futuro,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6174,6174 Posto Shell Vo Joao,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6175,6175 Posto Shell Presidente Juscelino,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6180,6180 Posto Shell Companheiro,2025-08-26T00:00:00,V1,True,False,Shell,1
6181,6181 Posto Shell Portal Mogi,2025-08-26T00:00:00,V1,False,False,Shell,1
6186,6186 Posto Shell Rebouças,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6187,6187 Posto Shell Mara Miru,2025-08-26T00:00:00,V1,False,False,Shell,1
6189,6189 Posto Shell Zonta,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6190,6190 Posto Shell Lavapes,2025-08-26T00:00:00,V1,False,False,Shell,1
6193,6193 Posto Shell Jardim Colonial,2025-08-26T00:00:00,V1,False,False,Shell,1
6195,6195 Posto Shell Saci,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6196,6196 Posto Shell Spw,2025-08-26T00:00:00,V1,False,False,Shell,1
6199,6199 Posto Shell Jardim Do Trevo,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6201,6201 Posto Shell Tejo,2025-08-26T00:00:00,V1,False,False,Shell,1
6203,6203 Posto Shell Casa Grande,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6208,6208 Posto Shell Joruhi,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6209,6209 Posto Shell Andorinhas,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6211,6211 Posto Shell Barbieri De Barao Geraldo,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6213,6213 Posto Shell Luiz Fantinato Filho,2025-08-26T00:00:00,V1,False,False,Shell,1
6216,6216 Posto Shell Av Nossa Sra De Fatima,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6217,6217 Posto Shell Savemo,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6218,6218 Posto Shell Gaivota,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6220,6220 Posto Shell Aiwa,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6221 - V4 NUC,6221 - V4 Nuc Posto Shell Barrancao,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6222,6222 Posto Shell Mestre,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6223,6223 Posto Shell Novo Ouro Negro,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,0
6224,6224 Posto Shell Grand Prix,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6227,6227 Posto Shell Campineira,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6234,6234 Posto Shell Tropical Gas,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6235,6235 Posto Shell Guarnel,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6240,6240 Posto Shell Lubricar,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6241,6241 Posto Shell Sol,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6244,6244 Posto Shell Eg,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6252,6252 Posto Shell Nova Campinas,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6253,6253 Posto Shell Be,2025-08-26T00:00:00,V1,False,False,Shell,1
6254,6254 Posto Shell Padocka,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6255,6255 Posto Shell Vila Galvao,2025-08-26T00:00:00,V1,False,False,Shell,0
6257,6257 Posto Shell Santo Eduardo,2025-08-26T00:00:00,V1,False,False,Shell,1
6261,6261 Posto Shell Carlu,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,0
6264,6264 Posto Shell Arinella Brooklin,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6266,6266 Posto Shell Cardeal,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6267 - V4 NUC,6267 - V4 Nuc Posto Shell Portal Do Umarizal,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6274,6274 Posto Shell Silvia Maria Pinto Santos,2025-08-26T00:00:00,V1,False,False,Shell,1
6276,6276 Posto Shell Jardim Do Shopping,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6277,6277 Posto Shell Madia,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6279 - V4 NUC,6279 - V4 Nuc Posto  Shell Auto Posto Glaussea Ltda,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6281,6281 Posto Shell Bate Bola,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6282,6282 Posto Shell Parque Da Uva,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6283,6283 Posto Shell Progresso,2025-08-26T00:00:00,V1,False,False,Shell,1
6284,6284 Posto Shell Keeper,2025-08-26T00:00:00,V1,False,False,Shell,1
6285,6285 Posto Shell Cidade Do Vinho,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6286,6286 Posto Shell Soledade Gaucha,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6288,6288 Posto Shell Pimenta,2025-08-26T00:00:00,V1,False,False,Shell,1
6289 - V4 NUC,6289 - V4 Nuc Posto  Shell Turismo Ii,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6292,6292 Posto Shell Portal De Americana,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6294,6294 Posto Shell Telles,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,0
6296,6296 Posto Shell Dom Pedro I,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6297,6297 Posto Shell Grande São Paulo,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6298 - V4 NUC,6298 - V4 Nuc Posto Shell Bap Barao,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6299 - V4 NUC,6299 - V4 Nuc Posto Shell Dar A - V4 Nuc,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6302,6302 Posto Shell Parque Villa Lobos,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6302 - V4 NUC,6302 - V4 Nuc Posto Shell Parque Villa Lobos,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6303,6303 Posto Shell Santa Cruz De Mogi Mirim,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6305,6305 Posto Shell Ss,2025-08-26T00:00:00,V1,False,False,Shell,0.9670555555555556
6308,6308 Posto Shell Tm,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6310,6310 Posto Shell Algodoal,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6314,6314 Posto Shell Maravilha,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6315,6315 Posto Shell Presidente Ribeirao,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6316,6316 Posto Shell Sociedade Rd,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6318 - V4 NUC,6318 - V4 Nuc Posto  Shell  Espaco Botanico,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6320,6320 Posto Shell Wg Ribeirão,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6321 - V4 NUC,6321 - V4 Nuc Posto Shell Carro Nobre,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6323,6323 Posto Shell Vitrine,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6325,6325 Posto Shell Sao Martinho,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6326,6326 Posto Shell Jurua,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6327,6327 Posto Shell Piracena,2025-08-26T00:00:00,V1,False,False,Shell,1
6334,6334 Posto Shell Quality Casablanca,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6341,6341 Posto Shell Fevereiro,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6342,6342 Posto Shell Alpha De Votorantim,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6343,6343 Posto Shell Universo 2000,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6344,6344 Posto Shell Andorinha De Rio Claro,2025-08-26T00:00:00,V1,False,False,Shell,1
6345,6345 Posto Shell Cedro,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6347,6347 Posto Shell Caragua,2025-08-26T00:00:00,V1,False,False,Shell,1
6348,6348 Posto Shell Pedro Lessa,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6349,6349 Posto Shell Pontal Da Cruz,2025-08-26T00:00:00,V1,False,False,Shell,1
6350,6350 Posto Shell Aeroporto De Ubatuba,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6351,6351 Posto Shell Jupia,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6353,6353 Posto Shell Tiger,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6354,6354 Posto Shell Azulao,2025-08-26T00:00:00,V1,False,False,Shell,1
6356 - V4 NUC,6356 - V4 Nuc Posto Shell Agronomia De Piracicaba,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6360,6360 Posto Shell Itarare Sao Vicente,2025-08-26T00:00:00,V1,False,False,Shell,1
6361,6361 Posto Shell Retiro,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6362,6362 Posto Shell Garcia De Campinas,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6363,6363 Posto Shell Fantinato,2025-08-26T00:00:00,V1,False,False,Shell,1
6366 - V4 NUC,6366 - V4 Nuc Posto  Shell 3 Vias,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6377,6377 Posto Shell Guigui,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6383,6383 Posto Shell Bandeirante,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6384,6384 Posto Shell Sete Estrelas,2025-08-26T00:00:00,V1,False,False,Shell,1
6385,6385 Posto Shell Bragança,2025-08-26T00:00:00,V1,False,False,Shell,0
6387 - V4 NUC,6387 - V4 Nuc Posto Shell Panamericano,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6392,6392 Posto Shell Ceiba Speciosa,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6393 - V4 NUC,6393 - V4 Nuc Posto  Shell Castelinho De Sorocaba,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6396,6396 Posto Shell Universitario Sao Carlos,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6397,6397 Posto Shell Mixam,2025-08-26T00:00:00,V1,False,False,Shell,1
6398,6398 Posto Shell Mediani Pires,2025-08-26T00:00:00,V1,False,False,Shell,1
6399,6399 Posto Shell Bela Cintra,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,0
6400,6400 Posto Shell Rio Claro Center Shopping,2025-08-26T00:00:00,V1,False,False,Shell,1
6401,6401 Posto Shell Itaipu Bassit,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6408,6408 Posto Shell Avenida De Itatiba,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6410 - V4 NUC,6410 - V4 Nuc Posto Shell Carrossel,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6413,6413 Posto Shell Hiperion,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,0
6415,6415 Posto Shell Aguia De Haia,2025-08-26T00:00:00,V1,False,False,Shell,1
6420,6420 Posto Shell Vitoria,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6421,6421 Posto Shell Sao Bernardo,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6423,6423 Posto Shell Portal Do Parque,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6426,6426 Posto Shell Cassiano Ricardo,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6428,6428 Posto Shell Aj E Ar,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6432,6432 Posto Shell Golfe Clube,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6434,6434 Posto Shell Modelo Jmlbg,2025-08-26T00:00:00,V1,False,False,Shell,1
6435,6435 Posto Shell Catedral,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6436,6436 Posto Shell Excede,2025-08-26T00:00:00,V1,False,False,Shell,1
6438,6438 Posto Shell Hawai Rio,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6442,6442 Posto Shell Grande Amor,2025-08-26T00:00:00,V1,False,False,Shell,1
6444,6444 Posto Shell Barra Monteiro,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6446,6446 Posto Shell Amor Da Leopoldina,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6447,6447 Posto Shell Rocar Rio,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6448,6448 Posto Shell Jardim Oceanico,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6449,6449 Posto Shell Jardim Oceanico Da Barra,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6450,6450 Posto Shell Rezende Recreio Ii,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6455  - V4 NUC,6455  - V4 Nuc Posto Shell Siquelero Serrazul,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6456,6456 Posto Shell Siqueira E Carbonari,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6457 - V4 NUC,6457 - V4 Nuc Posto  Shell Canário,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6460,6460 Posto Shell Jardim Freguesia,2025-08-26T00:00:00,V1,False,False,Shell,1
6461,6461 Posto Shell Brasil Santa Cruz,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6462,6462 Posto Shell Estrela,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6463,6463 Posto Shell Amigao De Itaborai,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6465,6465 Posto Shell Araujo Leite,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6468,6468 Posto Shell Aeroporto Bauru,2025-08-26T00:00:00,V1,False,False,Shell,1
6472,6472 Posto Shell Carbonari,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6473,6473 Posto Shell Chacaltaya,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6474,6474 Posto Shell Jpx,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6477,6477 Posto Shell Arrastao,2025-08-26T00:00:00,V1,False,False,Shell,1
6481,6481 Posto Shell Brasil 2000,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,0
6487,6487 Posto Shell Sabella Jardins,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6490,6490 Posto Shell Progresso Eloy Chaves,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6492,6492 Posto Shell Pavao Castelinho,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6495 - V4 NUC,6495 - V4 Nuc Posto Shell Tasca Bragança,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6498,6498 Posto Shell Pistao,2025-08-26T00:00:00,V1,False,False,Shell,0.99525
6499,6499 Posto Shell Mato Alto,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6501,6501 Posto Shell Kalota,2025-08-26T00:00:00,V1,False,False,Shell,1
6502,6502 Posto Shell Europa Empreendimentos,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6503,6503 Posto Shell Arigato,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6504 - V4 NUC,6504 - V4 Nuc Posto Shell Delta Mar,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6505,6505 Posto Shell Iate,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6506 - V4 NUC,6506 - V4 Nuc Posto  Shell  Casa Nova,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6509,6509 Posto Shell Rodovia De Bauru,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6510,6510 Posto Shell Manhattam,2025-08-26T00:00:00,V1,False,False,Shell,0
6511,6511 Posto Shell Reyssol,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6512,6512 Posto Shell Trapezio,2025-08-26T00:00:00,V1,False,False,Shell,1
6514,6514 Posto Shell Quatro Trevo,2025-08-26T00:00:00,V1,False,False,Shell,1
6516,6516 Posto Shell Campos Do Jordao,2025-08-26T00:00:00,V1,False,False,Shell,1
6519,6519 Posto Shell Bridge,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6525,6525 Posto Shell Lipe,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,0
6531,6531 Posto Shell Galo Branco,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6536,6536 Posto Shell Aladin Servicos,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6537,6537 Posto Shell Lord Rodrigo,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6538,6538 Posto Shell Verde Curitiba,2025-08-26T00:00:00,V1,True,False,Shell,1
6546,6546 Posto Shell Perola,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,0.976111111111111
6549,6549 Posto Shell Farol Do Parque,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6551,6551 Posto Shell Banc,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6552,6552 Posto Shell Thiago Vinicius,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6553,6553 Posto Shell Monza,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6563,6563 Posto Shell Sao Jose 3,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6571,6571 Posto Shell Rio Lima,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6576,6576 Posto Shell Avenida Central De Iraja,2025-08-26T00:00:00,V1,False,False,Shell,1
6577,6577 Posto Shell Casaca,2025-08-26T00:00:00,V1,False,False,Shell,0
6578 - V4 NUC,6578 - V4 Nuc Posto  Shell  Lk Vila Universitária,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6580,6580 Posto Shell Galapagos,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6580 - V4 NUC,6580 - V4 Nuc Posto  Shell Galapagos,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6588,6588 Posto Shell Villeneuve,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6591,6591 Posto Shell Alg,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6598,6598 Posto Shell Lk Vila Falcao I,2025-08-26T00:00:00,V1,False,False,Shell,1
6600,6600 Posto Shell Barra Cachamorra,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6602,6602 Posto Shell Jb Caxias,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6604,6604 Posto Shell Forgerini E Inouye São Carlos,2025-08-26T00:00:00,V1,False,False,Shell,1
6606,6606 Posto Shell Colina Aracatuba,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6610,6610 Posto Shell Cardoso Castro,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,0.29894444444444446
6618,6618 Posto Shell Avenida Shopping,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6620,6620 Posto Shell Automix,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,0
6621,6621 Posto Shell Ultra,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6622,6622 Posto Shell Manguinhos De Buzios,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6625,6625 Posto Shell Bola Pesada,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6627,6627 Posto Shell Lg,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6628,6628 Posto Shell Almeida E L.Oveira,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6630,6630 Posto Shell Santa Luzia Atibaia,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6634,6634 Posto Shell Santana Sao Jose Dos Campos,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6645,6645 Posto Shell Parque Taquaral,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6646,6646 Posto Shell Sousas,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6652,6652 Posto Shell Parambos,2025-08-26T00:00:00,V1,False,False,Shell,1
6653,6653 Posto Shell Beraldo,2025-08-26T00:00:00,V1,False,False,Shell,0
6654 - V4 NUC,6654 - V4 Nuc Posto  Shell Eco Posto Bandeirantes,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6655,6655 Posto Shell Sol Da Dutra,2025-08-26T00:00:00,V4 - NOVPN,False,False,Shell,1
6656,6656 Posto Shell Belezura,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6657,6657 Posto Shell Via Ponte,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,0.5806111111111111
6659,6659 Posto Shell Jardim Marajoara,2025-08-26T00:00:00,V4 - VPN,False,False,Shell,1
6661 - V4 NUC,6661 - V4 Nuc Posto Shell Avantgarde,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6664,6664 Posto Shell Rio Verde,2025-08-26T00:00:00,V1,True,False,Shell,1
6665,6665 Posto Shell Gas Milena,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6666,6666 Posto Shell Papa 5,2025-08-26T00:00:00,V1,True,False,Shell,1
6667,6667 - Posto Shell Da Ponte,2025-08-26T00:00:00,V1,True,False,Shell,0.8380833333333333
6669,6669 Posto Shell Reina Sophia,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6670 - V4 NUC,6670 - V4 Nuc Posto  Shell Anel Viario,2025-08-26T00:00:00,V4 - NOVPN,True,False,Shell,1
6671,6671 Posto Shell Portal De Barueri,2025-08-26T00:00:00,V1,False,False,Shell,1
6673,6673 Posto Shell Portal Do Morumbi,2025-08-26T00:00:00,V4 - VPN,True,False,Shell,1
6675,6675 Posto Shell Invicto,2025-08-26T00:00:00,V1,False,False,Shell,1
